,num,sgId,sgName,sgTypecode,sgVotedate
0,1,19920324,제14대 국회의원선거,0,19920324
1,2,19920324,국회의원선거,2,19920324
2,3,19921218,제14대 대통령선거,0,19921218
3,4,19921218,대통령선거,1,19921218
4,5,19960411,제15대 국회의원선거,0,19960411
5,6,19960411,국회의원선거,2,19960411
6,7,19971218,제15대 대통령선거,0,19971218
7,8,19971218,대통령선거,1,19971218
8,9,20000413,제16대 국회의원선거,0,20000413
9,10,20000413,국회의원선거,2,20000413
10,11,20000413,비례대표국회의원선거,7,20000413
11,12,20020613,제3회 전국동시지방선거,0,20020613
12,13,20020613,시·도지사선거,3,20020613
13,14,20020613,구·시·군의장선거,4,20020613
14,15,20020613,시·도의회의원선거,5,20020613
15,16,20020613,구·시·군의회의원선거,6,20020613
16,17,20020613,광역의원비례대표선거,8,20020613
17,18,20021219,제16대 대통령선거,0,20021219
18,19,20021219,대통령선거,1,20021219
19,20,20040415,제17대 국회의원선거,0,20040415
20,21,20040415,국회의원선거,2,20040415
21,22,20040415,비례대표국회의원선거,7,20040415
22,23,20060531,제4회 전국동시지방선거,0,20060531
23,24,20060531,시·도지사선거,3,20060531
24,25,20060531,구·시·군의장선거,4,20060531
25,26,20060531,시·도의회의원선거,5,20060531
26,27,20060531,구·시·군의회의원선거,6,20060531
27,28,20060531,광역의원비례대표선거,8,20060531
28,29,20060531,기초의원비례대표선거,9,20060531
29,30,20060531,교육의원선거,10,20060531
30,31,20071219,제17대 대통령선거,0,20071219
31,32,20071219,대통령선거,1,20071219
32,33,20080409,제18대 국회의원선거,0,20080409
33,34,20080409,국회의원선거,2,20080409
34,35,20080409,비례대표국회의원선거,7,20080409
35,36,20100602,제5회 전국동시지방선거,0,20100602
36,37,20100602,시·도지사선거,3,20100602
37,38,20100602,구·시·군의장선거,4,20100602
38,39,20100602,시·도의회의원선거,5,20100602
39,40,20100602,구·시·군의회의원선거,6,20100602
40,41,20100602,광역의원비례대표선거,8,20100602
41,42,20100602,기초의원비례대표선거,9,20100602
42,43,20100602,교육의원선거,10,20100602
43,44,20100602,교육감선거,11,20100602
44,45,20100728,2010년 상반기 재·보궐선거,0,20100728
45,46,20100728,국회의원선거,2,20100728
46,47,20101027,2010년 하반기 재·보궐선거,0,20101027
47,48,20101027,구·시·군의장선거,4,20101027
48,49,20101027,시·도의회의원선거,5,20101027
49,50,20101027,구·시·군의회의원선거,6,20101027
50,51,20110427,2011년 상반기 재·보궐선거,0,20110427
51,52,20110427,국회의원선거,2,20110427
52,53,20110427,시·도지사선거,3,20110427
53,54,20110427,구·시·군의장선거,4,20110427
54,55,20110427,시·도의회의원선거,5,20110427
55,56,20110427,구·시·군의회의원선거,6,20110427
56,57,20111026,2011년 하반기 재·보궐선거,0,20111026
57,58,20111026,시·도지사선거,3,20111026
58,59,20111026,구·시·군의장선거,4,20111026
59,60,20111026,시·도의회의원선거,5,20111026
60,61,20111026,구·시·군의회의원선거,6,20111026
61,62,20120411,제19대 국회의원선거,0,20120411
62,63,20120411,국회의원선거,2,20120411
63,64,20120411,시·도지사선거,3,20120411
64,65,20120411,구·시·군의장선거,4,20120411
65,66,20120411,시·도의회의원선거,5,20120411
66,67,20120411,구·시·군의회의원선거,6,20120411
67,68,20120411,비례대표국회의원선거,7,20120411
68,69,20120411,교육감선거,11,20120411
69,70,20121219,제18대 대통령선거,0,20121219
70,71,20121219,대통령선거,1,20121219
71,72,20121219,시·도지사선거,3,20121219
72,73,20121219,구·시·군의장선거,4,20121219
73,74,20121219,시·도의회의원선거,5,20121219
74,75,20121219,구·시·군의회의원선거,6,20121219
75,76,20121219,교육감선거,11,20121219
76,77,20130424,2013년 상반기 재·보궐선거,0,20130424
77,78,20130424,국회의원선거,2,20130424
78,79,20130424,구·시·군의장선거,4,20130424
79,80,20130424,시·도의회의원선거,5,20130424
80,81,20130424,구·시·군의회의원선거,6,20130424
81,82,20131030,2013년 하반기 재·보궐선거,0,20131030
82,83,20131030,국회의원선거,2,20131030
83,84,20140604,제6회 전국동시지방선거,0,20140604
84,85,20140604,시·도지사선거,3,20140604
85,86,20140604,구·시·군의 장선거,4,20140604
86,87,20140604,시·도의회의원선거,5,20140604
87,88,20140604,구·시·군의회의원선거,6,20140604
88,89,20140604,광역의원비례대표선거,8,20140604
89,90,20140604,기초의원비례대표선거,9,20140604
90,91,20140604,교육의원선거,10,20140604
91,92,20140604,교육감선거,11,20140604
92,93,20140730,2014년 상반기 재·보궐선거,0,20140730
93,94,20140730,국회의원선거,2,20140730
94,95,20140730,구·시·군의회의원선거,6,20140730
95,96,20141029,2014년 하반기 재·보궐선거,0,20141029
