num,sgId,sgTypecode,huboid,sggName,sdName,wiwName,giho,gihoSangse,jdName,name,hanjaName,gender,birthday,age,addr,jobId,job,eduId,edu,career1,career2,dugsu,dugyul
1,19960411,2,10029919,종로구,서울특별시,종로구,1,,신한국당,이명박,李明博,남,19411219,54,,1,국회의원,10,고려대 경영학과졸,"현대건설(주)회장, 6.3동지회 회장",대한상공회의소 부회장,40230,41
2,19960411,2,10029801,중구,서울특별시,중구(서울),1,,신한국당,박성범,朴成範,남,19400317,56,,2,정당인,10,건국대학교정치외교학과졸업,KBS워싱톤특파원,KBS방송총본부장,34238,52.93
3,19960411,2,10029451,용산구,서울특별시,용산구,1,,신한국당,서정화,徐廷和,남,19330304,63,,1,국회의원,10,서울대학교 법과대학졸업,"내무부장관, 신한국당 중앙상임위의장","12,13,14대 국회의원",41092,36.39
4,19960411,2,10029595,성동구갑,서울특별시,성동구갑,1,,신한국당,이세기,李世基,남,19361203,59,,1,국회의원,11,고려대학교 대학원 졸업,"제11,12,14대 의원, 민주정의당 원내총무","통일원, 체육부장관, 신한국당서울시지부위원장",36682,44.26
5,19960411,2,10030243,성동구을,서울특별시,성동구을,1,,신한국당,김학원,金學元,남,19471015,48,,11,변호사,10,서울대학교 법학과,"성동무료법률상담소, 성동정책연구소","서울남부, 북부지원 등 판사, 아주대 법학과 강사",28371,43.57
6,19960411,2,10030492,광진구갑,서울특별시,광진구갑,2,,새정치국민회의,김상우,金翔宇,남,19541014,41,,2,정당인,11,영국캠브리지대학원정치학과졸업,아태민주지도자회의 사무총장,"민주당김대중대통령후보외교담당, 영국 캠브리지대 연구위원",23636,29.59
7,19960411,2,10030633,광진구을,서울특별시,광진구을,2,,새정치국민회의,추미애,秋美愛,여,19581023,37,,11,변호사,12,한양대 법학과 대학원 수료,"광주고등법원 판사, 전주지방법원 판사",새정치국민회의 부대변인,36570,43.77
8,19960411,2,10029701,동대문구갑,서울특별시,동대문구갑,1,,신한국당,노승우,盧承禹,남,19380920,57,,1,국회의원,11,"미국캘리포니아 사회과학원, 한국외대 대학원 졸업","한국외대정책과학대 교수, 제14대 국회의원",미국스탠퍼드대학교 객원연구원,34120,38.08
9,19960411,2,10029793,동대문구을,서울특별시,동대문구을,1,,신한국당,김영구,金榮龜,남,19400112,56,,1,국회의원,11,동국대학교 행정대학원 졸업,11~14대 국회의원,정무1장관,37871,41.94
10,19960411,2,10030192,중랑구갑,서울특별시,중랑구갑,2,,새정치국민회의,이상수,李相洙,남,19461210,49,,11,변호사,10,고려대학교 법과대학 법학과,제13대 국회의원,우성종합법무법인 변호사,37625,47.73
11,19960411,2,10030132,중랑구을,서울특별시,중랑구을,1,,신한국당,김충일,金忠一,남,19450605,50,,2,정당인,11,미 뉴포트대학원,당선국회 정책연구위원,김영삼대표 정책보좌역,41772,38.81
